street,location
"2330 Vanguard Way Costa Mesa, CA 92626","(33.659512, -117.90327)"
"5987 Tower Rd Riverside, CA 92506","(33.9615474, -117.4060099)"
"4510 Park Ave Weehawken, NJ 7086","(40.77725909999999, -74.0180544)"
"708 E 27Th St Bryan, TX 77803","(30.6721593, -96.36617539999999)"
"907 Laurel Green Rd Missouri City, TX 77459","(29.6048297, -95.57446569999999)"
"805 Woodlawn St Ontario, CA 91761","(34.05067349999999, -117.6394276)"
"525 Clark Lane Arcadia, FL 34266","(27.2263448, -81.8648927)"
"18 Kelsey St Hartford, CT 6106","(41.7336406, -72.6983837)"
"2618 50Th St W Lehigh Acres, FL 33971","(26.6619697, -81.668098)"
"51 Old Farm Rd Levittown, NY 11756","(40.7330332, -73.53408250000001)"
"1010 West Young Elm Circle Houston, TX 77073","(29.9699506, -95.3939142)"
"29605 Solana Way Temecula, CA 92591","(33.5146705, -117.1503838)"
"227 East Pearl Street Butler, PA 16001","(40.8661527, -79.8919155)"
"14401 County Road 511 Venus, TX 76084","(32.5013007, -97.1037867)"
"21 Horseshoe Bend Rd Ringwood, NJ 7456","(41.1308854, -74.2753122)"
"3290 Mangrove Island Dr Orlando, FL 32824","(28.3843113, -81.3443741)"
"15594 Hamlin Blossom Avenue Winter Garden, FL 34787","(28.5228329, -81.6212334)"
"185 Brown Rd Jasper, TN 37347","(35.0603197, -85.6460445)"
"4415 Nugget Peak San Antonio, TX 78259","(29.6452162, -98.4038169)"
"One Montreal Place 2120 El Paseo St Apt 2201 Houston, TX 77054","(29.6878826, -95.3918097)"
"5024 S Kilpatrick Ave Chicago, IL 60632","(41.8013973, -87.74082779999999)"
"4409 Bramblewood St Las Vegas, NV 89147","(36.108744, -115.243911)"
"7605 Washington Ave. Whittier, CA 90602","(33.973348, -118.035236)"
"17023 La Vida Court Fontana, CA 92337","(34.0442539, -117.4329483)"
"11255 W Atlantic Blvd Coral Springs, FL 33071","(26.241519, -80.275798)"
"325 Cedar Ridge Dr Nolanville, TX 76559","(31.0823179, -97.5980235)"
"12235 Nw 18Th Pl Miami, FL 33167","(25.8863235, -80.229844)"
"691 Academy Ave Providence, RI 2908","(41.843936, -71.44494089999999)"
"1625 Crestwood Dr Anna, TX 75409","(33.3407879, -96.57087349999999)"
"23622 Hackberry Drive Katy, TX 77494","(29.758103, -95.7814451)"
"3143 Bianca Circle Simi Valley, CA 93063","(34.2927301, -118.7368822)"
"6548 Bonnie Brae Dr Eldersburg, MD 21784","(39.3948022, -76.94268919999999)"
"6163 Monticello Avenue Dallas, TX 75214","(32.8268956, -96.75886589999999)"
"745 Matthew St West Lafayette, IN 47906","(40.48329500000001, -86.89240939999999)"
"40 Prescott St Reading, MA 1867","(42.520435, -71.109735)"
"3483 Smoketree Dr Rockwall, TX 75032","(32.9037331, -96.4091916)"
"2038 Spanish Ranch Way Plumas Lake, CA 95961","(39.012874, -121.5523203)"
"307 N Pointe Crk Anderson, SC 29625","(34.543218, -82.67509299999999)"
"7564 E Harbor Rd Lakeside Marblehead, OH 43440","(41.531416, -82.789811)"
"3530 27Th Pl W Seattle, WA 98199","(47.65256429999999, -122.3902076)"
"4250 Elliott Rd Hilliard, OH 43026","(40.0370271, -83.19466539999999)"
"1003 E. Magnolia Ave. Auburn, AL 36830","(32.6063877, -85.4605826)"
"8839 Camp Road Winston, GA 30187","(33.6146514, -84.8647945)"
"5 Spruce St Concord, NH 3301","(43.1956441, -71.5357891)"
"54 Elizabeth Ave Manchester, NH 3103","(42.9591112, -71.4567678)"
"3764 Red Deer Trail Broomfield, CO 80020","(39.9362843, -105.0364955)"
"159 Hampton Cir Jupiter, FL 33458","(26.9123486, -80.1158501)"
"15-10 Jordan Rd Fair Lawn, NJ 7410","(40.944538, -74.10974999999999)"
"2636 122Nd St Toledo, OH 43611","(41.7153966, -83.4821288)"
"9 Rawadero Drive Swannanoa, NC 28778","(35.59207560000001, -82.43596199999999)"
"3265 Wawae Rd Kalaheo, HI 96741","(21.92941, -159.509741)"
"520 Contessa Ct Clayton, NC 27520","(35.5605654, -78.5503233)"
"345 Westwater Way Fayetteville, NC 28301","(35.0945311, -78.8877555)"
"1306 Elizabeth St Burkburnett, TX 76354","(34.0727884, -98.5458159)"
"4268 Bennett Wood Dr Millington, TN 38053","(35.3407129, -89.920864)"
"1301 Seminole Blvd Ste 103 Largo, FL 33770","(27.9036863, -82.786701)"
"3704 Penwood Pl Dublin, CA 94568","(37.7238451, -121.8668746)"
"5819 E Booker Ave Fresno, CA 93727","(36.712084, -119.6899089)"
"16266 Viho Rd Apt B Apple Valley, CA 92307","(34.546952, -117.2711709)"
"1231 Jay Bird Rd Springtown, TX 76082","(32.9916, -97.61524299999999)"
"8208 Firethorn Dr Colorado Springs, CO 80925","(38.7286309, -104.6752488)"
"1120 N Cleveland St Apt 1107 Enid, OK 73703","(36.4091702, -97.9091459)"
"6705 N Talman Chicago, IL 60645","(42.0033407, -87.69584069999999)"
"2318 East 6600 South Cottonwood Heights, UT 84121","(40.6310144, -111.8242306)"
"10 Ashley Court Park City, UT 84060","(40.679696, -111.504878)"
"6915 W Alta Vista Rd Laveen, AZ 85339","(33.3882637, -112.2088055)"
"10402 Baltimore Road Ford, VA 23850","(37.130844, -77.73419799999999)"
"2203 Beck Ave Panama City, FL 32405","(30.187666, -85.702376)"
"955 Hamlin Parma Townline Rd Hilton, NY 14468","(43.3105273, -77.8227235)"
"292 Amanda Dr Macon, GA 31216","(32.730091, -83.6666334)"
"11 Washington Ter Newburgh, NY 12550","(41.4991429, -74.028334)"
"1901 125Th Ave Ne Lake Stevens, WA 98258","(48.01509189999999, -122.061519)"
"1230 W 19Th St Santa Ana, CA 92706","(33.7618429, -117.8841624)"
"6302 Granada Way San Antonio, TX 78257","(29.6390514, -98.60597539999999)"
"1992 Pappy Ln Princeton, TX 75407","(33.1959028, -96.5412348)"
"1015 Railroad Ave Bellingham, WA 98225","(48.74675, -122.4821199)"
"30 Pauline Ave Crystal Lake, IL 60014","(42.2354498, -88.37937459999999)"
"416 Farmer Lane Jarrell, TX 76537","(30.8117288, -97.59391839999999)"
"39327 Stonegate St Palmdale, CA 93551","(34.5970817, -118.1686541)"
"19 Wildwood Dr Brookline, NH 3033","(42.7165973, -71.6789691)"
"2580 3Rd Street San Francisco, CA 94107","(37.7568996, -122.3884701)"
"3029 14Th St Columbus, IN 47201","(39.2135314, -85.88669809999999)"
"11 Rosepetal St Stafford, VA 22556","(38.4741483, -77.5400652)"
"123 Caernarvon Ct Exton, PA 19341","(40.054052, -75.63842799999999)"
"35 White Oak Dr Clarks Hill, SC 29821","(33.604472, -82.04865099999999)"
"6029 Palm Ave Riverside, CA 92506","(33.960624, -117.402136)"
"1967 Ostwood Ter Union, NJ 7083","(40.712267, -74.25473199999999)"
"511 Isiah Hallman Rd. Gilbert, SC 29054","(33.846791, -81.35956499999999)"
"247 Meadow Lane Bellefonte, PA 16823","(40.9124381, -77.68731369999999)"
"7994 Alta Vista Dr Pinckney, MI 48169","(42.4847064, -83.8300679)"
"240 Aviator Drive Fort Worth, TX 76179","(32.9374035, -97.41673759999999)"
"510 Shannon Ave Smithville, MO 64089","(39.3612247, -94.5719738)"
"203 W Bluebriar Dr Granite Shoals, TX 78654","(30.5914507, -98.3925328)"
"3314 Glenmont Ln Cincinnati, OH 45248","(39.1470562, -84.63481159999999)"
"564 Pontius Rd Cincinnati, OH 45233","(39.1061963, -84.6659859)"
"1899 North Groveland Place Eagle, ID 83616","(43.71218150000001, -116.3399516)"
"401 West Galaxy Place Sapulpa, OK 74066","(35.9711267, -96.1191879)"
"400 Bridgemill Lane Hampton, GA 30228","(33.4014104, -84.27723689999999)"
"5945 W Parker Rd Plano, TX 75093","(33.0474348, -96.8256849)"
"1237 S Almaden Ave San Jose, CA 95110","(37.3155477, -121.8800311)"
"45 Maple St Farmington, NH 3835","(43.3857468, -71.07603139999999)"
"341 E 5Th St New York, NY 10003","(40.7261768, -73.98711709999999)"
"30850 48Th Ct S Auburn, WA 98001","(47.3249216, -122.2735913)"
"8941 S Muskegon Ave Chicago, IL 60617","(41.7324131, -87.5551326)"
"4045 S Buffalo Dr Las Vegas, NV 89147","(36.1153986, -115.2626207)"
"244 Cincinnati Avenue Egg Harbor City, NJ 8215","(39.530093, -74.6435489)"
"10265 Nw 32 Terrace Doral, FL 33172","(25.8041452, -80.3625424)"
"3302 N Crump St Fort Worth, TX 76106","(32.8034863, -97.34256239999999)"
"3007 Roosevelt Road Muskegon, MI 49441","(43.1984754, -86.2731417)"
"10501 Duck Ln Nampa, ID 83686","(43.5244037, -116.6487336)"
"9938 Bell Rock Rd Frisco, TX 75035","(33.1384594, -96.7959389)"
"2614 Jackson Ave Long Island City, NY 11101","(40.7471142, -73.9417273)"
"1035 71St Street Brooklyn, NY 11228","(40.626133, -74.010623)"
"622 Sw 499 Dr Pryor, OK 74361","(36.2974085, -95.3943817)"
"1342 Harpst St Ann Arbor, MI 48104","(42.2559672, -83.73051850000002)"
"927 Alma Dr Montgomery, AL 36108","(32.3637233, -86.3345271)"
"2124 Santa Ana Dr Fairfield, CA 94533","(38.26790769999999, -122.0314918)"
"25 Hammond St Rowley, MA 1969","(42.7150324, -70.8765389)"
"2120 Se Herron Ave. Port St Lucie, FL 34952","(27.2523346, -80.28824949999999)"
"228 East 46Th Street New York, NY 10017","(40.7526764, -73.9715626)"
"28816 Willowtree Ct Santa Clarita, CA 91390","(34.4733323, -118.5370031)"
"18426 114Th Ave Se. Renton, WA 98055","(47.4382365, -122.1884874)"
"140 Hermosa Ave Oakland, CA 94618","(37.8406963, -122.2318636)"
"10517 S Millard Ave Chicago, IL 60655","(41.70180089999999, -87.7118929)"
"957 W Diamond Rim Dr Casa Grande, AZ 85122","(32.9043304, -111.772971)"
"1615 Sandstone Lane Howards Grove, WI 53083","(43.824295, -87.837002)"
"7402 Madison Avenue Urbandale, IA 50322","(41.6300911, -93.71988929999999)"
"18 Newhall St Malden, MA 2148","(42.4219725, -71.0662818)"
"66 Peter Jacob Dr Bangor, PA 18013","(40.8737225, -75.18231949999999)"
"421A Miami St Ladson, SC 29456","(33.029607, -80.0964599)"
"1117 W Church St Summitville, IN 46070","(40.3365513, -85.6480019)"
"407 S College Ave Fox Lake, WI 53933","(43.5613157, -88.9098183)"
"6500 Walden Run Huntsville, AL 35806","(34.751461, -86.68901)"
"323 Henry St Oakland, CA 94607","(37.8036888, -122.2980507)"
"2 Robert St Franklin, NH 3235","(43.4701494, -71.6466389)"
"6399 Southbridge St Windermere, FL 34786","(28.475277, -81.588267)"
"3438 Brushcreek Way San Jose, CA 95121","(37.304529, -121.810442)"
"150 East Ave Lewiston, ME 4240","(44.0942513, -70.1997055)"
"85-310 Farrington Hwy Waianae, HI 96792","(21.456383, -158.198907)"
"19012 Schoenborn St Northridge, CA 91324","(34.2213591, -118.5473927)"
"10417 Monterosa Pl Manassas, VA 20110","(38.72872, -77.48953329999999)"
"402 Mcafee Ct Nw Kennesaw, GA 30144","(34.0015562, -84.56829979999999)"
"6258 Lee Highway Warrenton, VA 20187","(38.7405908, -77.76333489999999)"
"211 Grand Oak Blvd Shepherdsville, KY 40165","(38.06693629999999, -85.6597627)"
"1490A Solano Avenue Albany, CA 94706","(37.8907298, -122.2883867)"
"3327 Rainshore Dr Katy, TX 77449","(29.8186312, -95.7338285)"
"32448 Gainsborough Dr Warren, MI 48088","(42.5341061, -82.9938552)"
"112 Southaven Ave Mastic, NY 11950","(40.79756700000001, -72.8452476)"
"103-23 107Th Street Ozone Park, NY 11417","(40.68444600000001, -73.834536)"
"536 Village Church Dr Chapin, SC 29036","(34.1347748, -81.3035136)"
"6507 Widmer Rd Shawnee, KS 66216","(39.0105958, -94.74742069999999)"
"1336 Avalon Dr. Madison, OH 44057","(41.8378984, -81.04478019999999)"
"765 Weybridge Pl Alpharetta, GA 30022","(34.0266701, -84.24133909999999)"
"718 Fairforest Drive Greenwood, SC 29646","(34.17677, -82.0996249)"
"91-1738 Burke St Ewa Beach, HI 96706","(21.3398968, -158.0438617)"
"12 Keith Ct Centerport, NY 11721","(40.8994768, -73.3742544)"
"1737 N Bates Cir Anaheim, CA 92806","(33.8673804, -117.8574025)"
"525 E Walnut St Lodi, CA 95240","(38.1319674, -121.2622119)"
"14119 Riverlake Drive Covington, LA 70435","(30.524971, -90.17544)"
"1231 5Th Ave Belvidere, IL 61008","(42.2474575, -88.8468161)"
"8645 Boswell Meadows Dr Fort Worth, TX 76179","(32.8792278, -97.3950254)"
"2417 S Central Park Ave Chicago, IL 60623","(41.8475248, -87.71465719999999)"
"808 E Cenizo St Harlingen, TX 78550","(26.1857784, -97.6726547)"
"3618 172Nd St Flushing, NY 11358","(40.762489, -73.794534)"
"1125 Hillside Lane Louisville, CO 80027","(39.972355, -105.1659872)"
"329 Whipp Dr Se Leesburg, VA 20175","(39.0950546, -77.5592775)"
"2034 S Elkhart St Aurora, CO 80014","(39.6799283, -104.8150246)"
"8046 Nall Street Valley Springs, CA 95252","(38.105868, -120.86086)"
"31 N Maple Ave Marlton, NJ 8053","(39.8987924, -74.92185049999999)"
"303 Newkirk Ave #2 Brooklyn, NY 11230","(40.6328623, -73.96934159999999)"
"67 Floyd St Belleville, NJ 7109","(40.7981494, -74.14948009999999)"
"436 Wheatley Rd North East, MD 21901","(39.6705309, -75.94022799999999)"
"1780 Small St York, PA 17404","(39.9612087, -76.76735339999999)"
"1300 N Custer Rd Apt 2301 Allen, TX 75013","(33.1177271, -96.7327577)"
"14044 E Utah Circle Aurora, CO 80012","(39.6834387, -104.8242488)"
"1650 Chelmsford Street Windsor, CO 80550","(40.489442, -104.9308318)"
"427 Eaton Drive Pasadena, CA 91107","(34.1538156, -118.0889721)"
"628 Minnis Road Cleveland, TN 37323","(35.1587496, -84.8223112)"
"2005 Katesbridge Ln Raleigh, NC 27614","(35.9286669, -78.5800355)"
"16 Rowledge Pond Rd Sandy Hook, CT 6482","(41.36940420000001, -73.2360589)"
"6605 Garden Rose Path Austin, TX 78754","(30.34601169999999, -97.6193012)"
"108 Nw 22Nd Street Fort Lauderdale, FL 33311","(26.1555653, -80.1467965)"
"43 South Buffalo Street Springville, NY 14141","(42.5075808, -78.6680844)"
"2603 Culver Dr Midland, TX 79705","(32.0148467, -102.1169376)"
"16404 Se Hearthwood Drive Clackamas, OR 97015","(45.4033343, -122.5734135)"
"658 6Th St Apt 2 Oakmont, PA 15139","(40.5203396, -79.8373556)"
"511 N 16Th Ave Yakima, WA 98902","(46.6059338, -120.5301685)"
"Sylvia Lakeland, FL 33810","(27.9919905, -81.95780500000001)"
"2945 Novus St Sarasota, FL 34237","(27.3298669, -82.5110998)"
"931 Villa Lane Haughton, LA 71037","(32.5497764, -93.6081523)"
"6183 Cherry Lake Drive North Jacksonville, FL 32258","(30.1199517, -81.5013896)"
"2195 I Road Grand Junction, CO 81505","(39.1346413, -108.6473918)"
"1343 Bandera Hwy Kerrville, TX 78029","(30.0302224, -99.13956669999999)"
"99 Franklin Street Northport, NY 11768","(40.89422220000001, -73.3421087)"
"1610 S Hampton Road Dallas, TX 75208","(32.7276699, -96.8566893)"
"24920 Hidden Hills Dr Menifee, CA 92584","(33.6747044, -117.2264136)"
"136 W Cedar Ave Denver, CO 80223","(39.7128072, -104.9909808)"
"13175 Marina Way Woodbridge, VA 22191","(38.6678721, -77.2450056)"
"11506 N Park N Ave Seattle, MA 98133","(47.7126907, -122.3487439)"
"20 Birchwood Avenue Birchwood, MN 55110","(45.06327, -92.98360389999999)"
"6 Dauterive Ct Kenner, LA 70065","(30.0268445, -90.2780166)"
"23-63 33Rd Street Astoria, NY 11105","(40.772059, -73.913212)"
"3607 W 58Th St Chicago, IL 60629","(41.7876947, -87.71374829999999)"
"308 108Th Ave Ne Bellevue, WA 98004","(47.6128172, -122.1957514)"
"2445 Nw 160Th St Miami Gardens, FL 33054","(25.9205275, -80.2413018)"
"8 Broadview Ave Nashua, NH 3064","(42.7691337, -71.4598287)"
"501 Scenic Dr Steubenville, OH 43953","(40.3832019, -80.6776596)"
"4 Northern View Drive New Milford, CT 6776","(41.6401485, -73.4498562)"
"31 Whispering Pines Court Santa Rosa Beach, FL 32459","(30.3775536, -86.2644845)"
"2575 Collier Rd Forsyth, GA 31029","(33.0547178, -83.99389359999999)"
"4415 Valley View Avenue Baltimore, MD 21206","(39.3322815, -76.553271)"
"12 Susan Drive Bellport, NY 11713","(40.7665862, -72.9493093)"
"909 S Shasta St West Covina, CA 91791","(34.0588363, -117.8983298)"
"136A Leland Avenue San Francisco, CA 94134","(37.712388, -122.40617)"
"4076 Gourrier Ave Apt 4 Baton Rouge, LA 70808","(30.4033376, -91.17748859999999)"
"5718 Kimbrough Dr Corpus Christi, TX 78412","(27.7124743, -97.36436169999999)"
"3107 Provo Ct San Jose, CA 95127","(37.3849445, -121.8424948)"
"1005 E Las Tunas Dr Ste 430 San Gabriel, CA 91776","(34.1036792, -118.0858855)"
"5066 Miriam Ln Parker, CO 80134","(39.4360163, -104.7614145)"
"13059 Arabella Lane Cerritos, CA 90703","(33.8642924, -118.0532108)"
"6828 Rockview Ct San Jose, CA 95120","(37.2068049, -121.8751396)"
"1543 Barberry Ct San Jose, CA 95121","(37.3102039, -121.8227876)"
"3016 Southwest Chastain Avenue Gresham, OR 97080","(45.4755563, -122.4469368)"
"12502 Aubreywood Lane Houston, TX 77070","(29.9541762, -95.560846)"
"1524 Leeward Dr San Jose, CA 95122","(37.3435448, -121.8244782)"
"12010 Quiet Water Ct. Houston, TX 77065","(29.9193817, -95.5988414)"
"412 Pontiac Ave Brooklyn, MD 21225","(39.236111, -76.60492300000001)"
"3990 Lake Rd Ne Pleasantville, OH 43148","(39.7796842, -82.50785309999999)"
"9425 Shadow Point Circle Chattanooga, TN 37421","(35.0106898, -85.10291)"
"3570 Pepperwood Dr Boise, ID 83704","(43.6374607, -116.299655)"
"2010 Creekwood Run Lakeland, FL 33809","(28.1958083, -81.9902742)"
"5207 Veil Of Tears Jefferson City, MO 65109","(38.579872, -92.29018549999999)"
"3930 West 4750 South Roy, UT 84056","(41.1772174, -112.0747204)"
"21333 Marine View Dr. Sw Normandy Park, WA 98166","(47.4097662, -122.336759)"
"375 Delaware Se Bandon, OR 97411","(43.1179429, -124.4106469)"
"323 West Division Street Fond Du Lac, WI 54935","(43.7788287, -88.45899159999999)"
"1005 Ne 14Th St Mcminnville, OR 97128","(45.2180717, -123.1883186)"
"3430 S Main St Winston Salem, NC 27127","(36.048866, -80.2396682)"
"1088 Las Palmas Entrada Ave Henderson, NV 89012","(36.0294365, -115.0353158)"
"30 Ross Road Spartanburg, SC 29301","(34.9606393, -81.9614175)"
"2869 Running Pump Ln Herndon, VA 20171","(38.9285392, -77.4110707)"
"8527 Coppel Lane Indianapolis, IN 46259","(39.6716757, -86.01635270000001)"
"3705 Coral Gables Rd Cincinnati, OH 45248","(39.158021, -84.64499)"
"7323 Blackburn Ave Downers Grove, IL 60516","(41.7541084, -87.99793489999999)"
"2310 Sandstone Dr Mount Pleasant, MI 48858","(43.6066216, -84.80501509999999)"
"249 Grove St Meriden, CT 6451","(41.5437192, -72.802964)"
"54 Celentano Drive Naugatuck, CT 6770","(41.4792616, -73.035799)"
"2490 Parkview Dr Cuyahoga Falls, OH 44223","(41.141428, -81.51547479999999)"
"5118 Abbey Road Fort Collins, CO 80526","(40.515434, -105.089239)"
"13237 58Th Rd Flushing, NY 11355","(40.7453376, -73.8319587)"
"1968 S Crescent Heights B Los Angeles, CA 90034","(34.0403664, -118.3754351)"
"3868 West Elm Place Arnold, MO 63010","(38.4074712, -90.4032951)"
"426 Thomas St Se Grand Rapids, MI 49503","(42.9501613, -85.658037)"
"4315 Nw Leedy Rd Topeka, KS 66618","(39.125039, -95.76298399999999)"
"2138 75Th Ave Greeley, CO 80634","(40.4042408, -104.8007997)"
"10800 Cibola Loop Nw Albuquerque, NM 87114","(35.2110032, -106.6630747)"
"2721 Forest Grove Ct Charlotte, NC 28269","(35.3724897, -80.7479223)"
"815 Loma Ave Apt. 14 Long Beach, CA 90840","(33.7774383, -118.1505997)"
"2425 E 2100 S Salt Lake City, UT 84109","(40.726101, -111.821158)"
"8573 Alpine Vineyards Ct Las Vegas, NV 89139","(36.0331649, -115.2319152)"
"955 Walton Ave Bronx, NY 10452","(40.8292302, -73.9231688)"
"1 Shady Circle Asheville, NC 28805","(35.587896, -82.50903199999999)"
"2827 Dunvale Rd Apt 4328 Houston, TX 77063","(29.7333854, -95.5121978)"
"3711 Sherman Ave North Bend, OR 97459","(43.38904840000001, -124.2237706)"
"286 Florida Pkwy Kissimmee, FL 34743","(28.3334691, -81.34864290000002)"
"840 Bates Street Traverse City, MI 49686","(44.7517984, -85.6024849)"
"166 Turkey Trl Fortson, GA 31808","(32.639341, -84.95608299999999)"
"44900 East Macarthur Street Shawnee, OK 74804","(35.362947, -96.8599739)"
"2750 Artesia Blvd Redondo Beach, CA 90278","(33.871191, -118.35971)"
"728 Palisades Dr Desoto, TX 75115","(32.5755892, -96.84385209999999)"
"193 Russell St Brooklyn, NY 11222","(40.7272042, -73.94496610000002)"
"15810 S 3Rd St Scurry, TX 75158","(32.419724, -96.34760999999999)"
"43 Samson Cir Columbia, SC 29203","(34.060859, -80.99841599999999)"
"1911 Triple Mast Circle League City, TX 77573","(29.5347135, -95.0498871)"
"1520 Independence Ave Se Washington, DC 20003","(38.8878052, -76.9830502)"
"220 North Wayland Avenue Sioux Falls, SD 57103","(43.549018, -96.7073646)"
"7420 Telegraph Ave Orangevale, CA 95662","(38.7006966, -121.2060771)"
"709A Ann St Mifflinville, PA 18631","(41.029242, -76.30072299999999)"
"1210 S Monroe St Bay City, MI 48708","(43.5780111, -83.88469719999999)"
"24175 Green Terrace Way Winona, MN 55987","(43.98975069999999, -91.4478773)"
"13 Hammond St #2 Portland, ME 4101","(43.66750529999999, -70.2542729)"
"1861 Brookdale Ave La Habra, CA 90631","(33.9433862, -117.9258613)"
"4350 Foxtail Ln Weston, FL 33331","(26.0637459, -80.39079749999999)"
"7905 Leschi Rd Sw Lakewood, WA 98498","(47.1787427, -122.5421439)"
"15815 Sw 102Nd St Miami, FL 33196","(25.6718305, -80.4518174)"
"3486 Rocky Mountain Dr San Jose, CA 95127","(37.3517676, -121.800763)"
"350 E 62Nd St Los Angeles, CA 90003","(33.9831668, -118.2678055)"
"3165 Decatur Ave Bronx, NY 10467","(40.87303900000001, -73.87659289999999)"
"2399 Lena Ln West Palm Bch, FL 33415","(26.642549, -80.125106)"
"4964 East Old Farm Road Memphis, TN 38125","(35.0129355, -89.82289949999999)"
"9856 Vine St Bloomington, CA 92316","(34.0746998, -117.3940998)"
"52 Bonney Terrace Fairfield, CT 6824","(41.1301565, -73.2685887)"
"3400 Columbia Pike Arlington, VA 22204","(38.8607817, -77.09271609999999)"
"1511 Northwest 9Th Street Andrews, TX 79714","(32.3332404, -102.564383)"
"3455 West 38Th Avenue Denver, CO 80211","(39.7696315, -105.0327391)"
"144 Capri Dr Fort Thomas, KY 41075","(39.0943256, -84.45568209999999)"
"11224 Cypress Reserve Dr Tampa, FL 33626","(28.0639691, -82.6303437)"
"3206 E Barnhart Rd Denair, CA 95316","(37.5436024, -120.810163)"
"6950 Grande Vista Way S South Pasadena, FL 33707","(27.7455655, -82.7351989)"
"418 S Jahncke Ave Covington, LA 70433","(30.4702657, -90.09922999999999)"
"330 W Cherry St Potterville, MI 48876","(42.6278262, -84.7462135)"
"7400 Stacy Rd Mckinney, TX 75070","(33.1530671, -96.7131472)"
"6037 Blacks Rd Sw Pataskala, OH 43062","(39.9974008, -82.6061526)"
"15510 Longmeadow Dearborn, MI 48120","(42.3104883, -83.19100310000002)"
"304 Turtle Creek Dr Warner Robins, GA 31088","(32.5801036, -83.64427789999999)"
"16721 Sw 86Th Ct Palmetto Bay, FL 33157","(25.6153065, -80.3319075)"
"935 Beacon Square Ct Apt 34 Gaithersburg, MD 20878","(39.1255212, -77.241987)"
"804 South Woodlawn Avenue Bloomington, IN 47401","(39.1589909, -86.5228447)"
"216 Gibbs Street North Prescott, WI 54021","(44.752651, -92.796819)"
"2256 W Lincoln Ave Anaheim, CA 92801","(33.8323197, -117.9624997)"
"393 Pearson Circle Naperville, IL 60563","(41.7850676, -88.1520299)"
"63-72 78Th Street Mv, NY 11379","(40.718615, -73.876633)"
"124 Julie Rd Bolingbrook, IL 60440","(41.71348400000001, -88.067707)"
"9514 Dunstable San Antonio, TX 78239","(29.5237391, -98.3485262)"
"1120 8Th St San Fernando, CA 91340","(34.29646779999999, -118.4245022)"
"3509 Chandra Ct Ceres, CA 95307","(37.5855562, -120.9723281)"
"338 Macon Ave Romeoville, IL 60446","(41.6385278, -88.09608659999999)"
"17 Woodcrest St Valley Stream, NY 11581","(40.6549646, -73.6901104)"
"6140 Gloria Drive #6 Sacramento, CA 95831","(38.5156592, -121.518288)"
"414 Triomphe Ct Danville, CA 94506","(37.80350809999999, -121.9260891)"
"5049 N Octavia Ave Harwood Heights, IL 60706","(41.97227729999999, -87.8092392)"
"603 Windbluff Court Garner, NC 27529","(35.6870802, -78.6140384)"
"1180 Dorchester Rd Xenia, OH 45385","(39.7314222, -83.96278819999999)"
"2916 Eunice Ln Wendell, NC 27591","(35.8554068, -78.3873112)"
"235 W. Van Buren St Chicago, IL 60607","(41.8765303, -87.6347529)"
"548 N Sagebrush St Wichita, KS 67230","(37.6954396, -97.16246489999999)"
"414 Green St Kewanee, IL 61443","(41.2233688, -89.9179681)"
"6614 Rosemary Knoll Lane Katy, TX 77494","(29.6974985, -95.83099519999999)"
"8432 San Clemente Way Buena Park, CA 90620","(33.84151740000001, -118.0264994)"
"148 Yacht Club Dr Apt 13 North Palm Beach, FL 33408","(26.8259709, -80.05953219999999)"
"16614 Fairbolt Way Odessa, FL 33556","(28.1733027, -82.5409778)"
"507 Kensington Dr Davenport, FL 33897","(28.3199274, -81.6830124)"
"609 Pinecone Cove Niceville, FL 32578","(30.491343, -86.463948)"
"208 Apache Road Florissant, CO 80816","(38.7333749, -105.3406351)"
"841 Poplar Springs Church Rd Sanford, NC 27330","(35.4786505, -79.1021784)"
"7799 159Th Ln Nw Ramsey, MN 55303","(45.2611909, -93.465576)"
"3630 West Bradford Bloomfield Hills, MI 48301","(42.54149, -83.2620139)"
"3850 Klahanie Dr Se Issaquah, WA 98029","(47.5725053, -121.9973756)"
"410 S Murray St Mckinney, TX 75069","(33.1930914, -96.6077698)"
"711 Morgan Avenue Drexel Hill, PA 19026","(39.9502924, -75.30609079999999)"
"9868 Rincon Ave Pacoima, CA 91331","(34.2495576, -118.4204633)"
"17 Stillman Ave Danbury, CT 6810","(41.3896547, -73.4412476)"
"9003 Cornell Dr Jonesboro, GA 30238","(33.5104384, -84.385272)"
"10350 N 58Th Dr Glendale, AZ 85302","(33.5790957, -112.1847276)"
"2631 Via Cordova Carrollton, TX 75006","(32.969932, -96.866024)"
"38981 Old Stage Pl Waterford, VA 20197","(39.1778589, -77.6569681)"
"1745 Park Place Drive Carmichael, CA 95608","(38.5972324, -121.350969)"
"236 Middle Fork Ln Carnesville, GA 30521","(34.331066, -83.2274501)"
"2121 E 24Th St Brooklyn, NY 11229","(40.5992868, -73.9473012)"
"840 Embassy Cir Vacaville, CA 95688","(38.4006263, -121.9378228)"
"3283 Old Horton Bay Rd Boyne City, MI 49712","(45.2532349, -85.0374734)"
"6518 East Admiral Doyle Drive Jeanerette, LA 70544","(29.945117, -91.743686)"
"2134 Lincoln Park Drive Muskegon, MI 49441","(43.2000688, -86.296644)"
"1602 Quie Ln Northfield, MN 55057","(44.4764796, -93.1730632)"
"226 Linn Ave Oregon City, OR 97045","(45.3497583, -122.6006579)"
